S,X,T,r,div,v,n,Amercall
88.59869323,100,1.692447853,0.068016415,0.000555395,0.361374396,15000,16.20284766
88.5102784,100,0.739272187,0.013969877,0.058800966,0.454493634,15000,8.393305454
85.22184722,100,0.256392135,0.033525446,0.017807109,0.599233552,15000,5.355348257
108.2628917,100,3.663576925,0.016353245,0.053818413,0.341922666,15000,23.8724241
72.98830725,100,4.048674841,0.083769925,0.043034383,0.433916059,15000,18.05698624
110.5175919,100,0.883790493,0,0.017909357,0.319293612,15000,17.56707654
95.08390958,100,0.379229854,0.072218863,0.048899962,0.310561711,15000,5.451187862
95.84264715,100,3.570740984,0.027862349,0.039838957,0.305706257,15000,17.178244
70.42646749,100,0.98630369,0.029267326,0.060197386,0.510530417,15000,5.316679201
89.12684693,100,0.690434502,0.030317705,0.081682693,0.412694067,15000,6.924271035
111.4998912,100,0.608402869,0.081888763,0.049033422,0.358991215,15000,19.04110347
124.0518204,100,0.680476783,0.038202235,0.031910156,0.354804421,15000,28.22076122
113.2910646,100,2.16080652,0,0.096820221,0.354786571,15000,20.51166018
91.12531716,100,0.295833538,0.090308598,0.044901207,0.43469898,15000,5.582700374
81.72333765,100,0.150640196,0.062088042,0.027627507,0.382866573,15000,0.576897442
78.7736641,100,3.136587547,0.033094438,0.076861976,0.136411323,15000,0.573607662
119.2010735,100,0.50046949,0.060369513,0.053833607,0.344076119,15000,22.61345975
111.0839179,100,0.134428665,0.000627894,0.053523786,0.559117843,15000,14.80970321
107.680881,100,4.030529591,0.037406577,0.057773638,0.387552297,15000,28.59008947
89.03376499,100,4.368193114,0,0.088624866,0.538032237,15000,21.99220287
75.01431392,100,3.723878248,0.051171884,0.014994074,0.373948027,15000,16.25455414
96.88210449,100,0.556926839,0,0.033614267,0.129338638,15000,1.887231971
120.4084998,100,0.976421897,0.070669084,0.098740671,0.529275277,15000,31.24095334
87.5083196,100,0.918417305,0,0.010726729,0.579023279,15000,14.4269285
122.6048632,100,0.169150709,0.02904435,0.033931986,0.137627509,15000,22.60486323
109.5390519,100,0.634706287,0.075701704,0.0045877,0.30683988,15000,18.40035263
110.7583861,100,2.663907235,0.051583801,0.065866926,0.438372381,15000,30.2779526
92.88571043,100,4.929719156,0,0.081573381,0.394188284,15000,16.56156014
82.44302628,100,0.454382821,0.043633948,0.013008611,0.212519875,15000,0.647722815
111.5265702,100,0.863284463,0.07501558,0.092396376,0.515561235,15000,24.32350317
128.8019086,100,0.233830963,0.040964083,0.010858414,0.395305935,15000,30.28703262
78.45481443,100,1.822759147,0,0.006029078,0.283561075,15000,5.101402686
87.9841441,100,0.444146802,0.068765274,0.033780908,0.282142541,15000,2.909742262
88.29007585,100,0.764280897,0.099511259,0.072342452,0.283144833,15000,4.862801225
70.51732901,100,0.90182686,0,0.047673884,0.132456706,15000,0.002681699
107.5739949,100,0.536247162,0.059031101,0.090086743,0.457129252,15000,16.63157549
74.8555654,100,0.269813464,0.021080322,0.008000007,0.540996957,15000,1.937081297
120.5244007,100,0.531905842,0,0.066373079,0.47303826,15000,25.31892541
92.25499181,100,0.23315313,0.068024763,0.009204647,0.309762726,15000,3.050462856
90.65029584,100,0.245095461,0.04105793,0.019707231,0.330855871,15000,2.747575694
73.01974001,100,0.453664296,0.038811675,0.017915266,0.243544534,15000,0.169566447
88.08539569,100,4.119743036,0.055162776,0.003668556,0.157354409,15000,14.47536275
86.90276166,100,0.135797553,0,0.055811245,0.368670658,15000,0.889560737
105.2230294,100,2.117552653,0.090772864,0.019210924,0.31127215,15000,27.28183543
113.1141202,100,0.422703012,0.068266226,0.094916454,0.593944779,15000,22.53377754
86.22262215,100,0.240517361,0.009724938,0.046962844,0.148850356,15000,0.038013631
89.40018709,100,0.688332527,0.046501868,0.017842242,0.418311117,15000,8.927422761
72.53731863,100,3.76090081,0,0.092646697,0.471924094,15000,10.27879534
95.61937578,100,2.546325191,0.000821895,0.023503856,0.17129142,15000,6.603747335
77.01815756,100,0.518143226,0.016020716,0.050101911,0.395696111,15000,2.140217235
100.5900956,100,0.611894284,0,0.06550551,0.541564772,15000,15.27908956
116.6253155,100,2.020622636,0.030547151,0.020257106,0.550013296,15000,41.3273122
77.39905982,100,0.356981617,0.052112698,0.077567554,0.435187337,15000,1.794176264
98.51312358,100,0.482315898,0.0429843,0.021650685,0.396800192,15000,10.48171211
98.0540231,100,0.118504581,0.075324591,0.032543599,0.255538913,15000,2.781894283
107.1834267,100,0.956704109,0.050446212,0.085336606,0.201116988,15000,10.33650856
93.74624175,100,1.611999402,0,0.036162446,0.35060859,15000,11.89273038
115.5612996,100,0.782517343,0.098410695,0.040356318,0.2932213,15000,22.93234565
108.3538608,100,0.802755525,0.035077303,0.014275918,0.567695623,15000,25.82674055
105.9250295,100,0.88962165,0.016409279,0.06282489,0.327504487,15000,13.69300752
116.7241393,100,0.498404399,0,0.08159521,0.438681815,15000,20.99088926
112.7711602,100,0.75807394,0,0.016954888,0.212480346,15000,15.03423438
94.0518885,100,0.953743675,0.026061493,0.006783101,0.489183979,15000,16.05031475
86.04539666,100,0.217163554,0.028280043,0.078596238,0.521027855,15000,3.392284052
73.56547334,100,0.355899755,0.080478567,0.001765666,0.225088988,15000,0.077924665
87.98650108,100,0.163533483,0,0.014673629,0.582418625,15000,4.000788256
115.539592,100,4.757625755,0.078371117,0.050935245,0.18195197,15000,27.08674106
111.3226169,100,0.920940223,0.049593822,0.042998804,0.528510424,15000,26.71635882
102.0558953,100,4.492734038,0,0.094634231,0.382522156,15000,18.59696765
73.50735686,100,0.295735592,0.013858889,0.081595941,0.206010425,15000,0.004761296
124.6775468,100,0.621679165,0.083284265,0.096161907,0.27799816,15000,25.59144882
87.50929685,100,0.215128339,0.02468855,0.009429522,0.153465353,15000,0.088106293
115.8016551,100,0.796214867,0,0.06944654,0.417147994,15000,21.9913273
72.15430886,100,0.782726596,0.025912101,0.05677333,0.413563071,15000,2.723917021
119.0668129,100,0.538076994,0.041825501,0.080444939,0.540503784,15000,26.63751518
107.7904216,100,0.258477848,0.008822741,0.007613125,0.582908377,15000,16.50890079
